trial,element,model,block_noise_sd,ramp_noise_sd,block_noise_down,ramp_noise_down,block_noise_up,ramp_noise_up,final_position
a,red_block,physics,0.225,0.0,-0.1524425703890393,0.0,0.0,0.0,1650.0959476238095
a,red_block,ramp,0.225,0.0,0.0,0.0,-0.013392792569427103,0.0,214.98816350737386
a,red_block,agent,0.225,0.0,0.05541151054573134,0.0,0.0,0.0,1029.644010474261
a,red_block,physics,0.225,0.0,0.05541151054573134,0.0,0.0,0.0,1029.644010474261
a,red_block,ramp,0.225,0.0,0.0,0.0,0.07640333961446047,0.0,296.2257235313255
a,red_block,agent,0.225,0.0,0.11865439499328258,0.0,0.0,0.0,966.4083107791974
a,red_block,physics,0.225,0.0,0.11865439499328258,0.0,0.0,0.0,966.4083107791974
a,red_block,ramp,0.225,0.0,0.0,0.0,0.03643568882183195,0.0,266.6731743687987
a,red_block,agent,0.225,0.0,-0.11950981974897343,0.0,0.0,0.0,1419.7745167923035
a,red_block,physics,0.225,0.0,-0.11950981974897343,0.0,0.0,0.0,1419.7745167923035
a,red_block,ramp,0.225,0.0,0.0,0.0,0.25081000514656465,0.0,372.1327399800175
a,red_block,agent,0.225,0.0,-0.03242032415503388,0.0,0.0,0.0,1151.1761765457018
a,red_block,physics,0.225,0.0,-0.03242032415503388,0.0,0.0,0.0,1151.1761765457018
a,red_block,ramp,0.225,0.0,0.0,0.0,-0.025046068852724056,0.0,199.57799115694678
a,red_block,agent,0.225,0.0,0.337186901484196,0.0,0.0,0.0,882.3475014348807
a,red_block,physics,0.225,0.0,0.337186901484196,0.0,0.0,0.0,882.3475014348807
a,red_block,ramp,0.225,0.0,0.0,0.0,0.1549976947599579,0.0,338.8278144334191
a,red_block,agent,0.225,0.0,-0.03567270548344948,0.0,0.0,0.0,1158.431686251833
a,red_block,physics,0.225,0.0,-0.03567270548344948,0.0,0.0,0.0,1158.431686251833
a,red_block,ramp,0.225,0.0,0.0,0.0,0.1781493068395084,0.0,348.0015702521619
a,red_block,agent,0.225,0.0,-0.1424974184996786,0.0,0.0,0.0,1567.4364925988748
a,red_block,physics,0.225,0.0,-0.1424974184996786,0.0,0.0,0.0,1567.4364925988748
a,red_block,ramp,0.225,0.0,0.0,0.0,-0.19772533887171748,0.0,-681.8429759007604
a,red_block,agent,0.225,0.0,-0.11423230522923752,0.0,0.0,0.0,1392.2572241158218
a,red_block,physics,0.225,0.0,-0.11423230522923752,0.0,0.0,0.0,1392.2572241158218
a,red_block,ramp,0.225,0.0,0.0,0.0,-0.04567341083474014,0.0,165.30843487726324
a,red_block,agent,0.225,0.0,0.2121219078562636,0.0,0.0,0.0,915.8587211153341
a,red_block,physics,0.225,0.0,0.2121219078562636,0.0,0.0,0.0,915.8587211153341
a,red_block,ramp,0.225,0.0,0.0,0.0,0.28879308233085654,0.0,381.37353877118375
a,red_block,agent,0.225,0.0,-0.1769961666974278,0.0,0.0,0.0,1935.8195337727398
a,red_block,physics,0.225,0.0,-0.1769961666974278,0.0,0.0,0.0,1935.8195337727398
a,red_block,ramp,0.225,0.0,0.0,0.0,-0.10897263899089055,0.0,15.715135037706165
a,red_block,agent,0.225,0.0,0.010821255914733345,0.0,0.0,0.0,1092.13372657456
a,red_block,physics,0.225,0.0,0.010821255914733345,0.0,0.0,0.0,1092.13372657456
a,red_block,ramp,0.225,0.0,0.0,0.0,0.21940424393377062,0.0,361.97752875751377
a,red_block,agent,0.225,0.0,0.074647620573168,0.0,0.0,0.0,1007.6994180153905
a,red_block,physics,0.225,0.0,0.074647620573168,0.0,0.0,0.0,1007.6994180153905
a,red_block,ramp,0.225,0.0,0.0,0.0,-0.03941839920171532,0.0,175.44661100401075
a,red_block,agent,0.225,0.0,0.09577644694439519,0.0,0.0,0.0,986.5813399073674
a,red_block,physics,0.225,0.0,0.09577644694439519,0.0,0.0,0.0,986.5813399073674
a,red_block,ramp,0.225,0.0,0.0,0.0,-0.1052258562474207,0.0,27.940077667995265
a,red_block,agent,0.225,0.0,0.4653638442927161,0.0,0.0,0.0,848.5940562378566
a,red_block,physics,0.225,0.0,0.4653638442927161,0.0,0.0,0.0,848.5940562378566
a,red_block,ramp,0.225,0.0,0.0,0.0,0.21693534812492893,0.0,361.2129204230595
a,red_block,agent,0.225,0.0,0.2816326816258856,0.0,0.0,0.0,892.6558432854622
