trial,element,model,block_noise_sd,ramp_noise_sd,block_noise_up,ramp_noise_up,final_position_up,ramp_valid,up_stop_reason
b,blue_ramp,ramp,0.0,0.5,0.0,0.7313199414599444,1099.5689248820904,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8515279954868608,1049.8684435397113,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8579146774245224,1035.681501220904,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8401302686503909,1045.7147118146086,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1828920583365543,927.7367080200939,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9116264792386832,1026.678878816315,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7142614317845418,1103.01225355227,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9513947883252807,1006.280176377414,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0159136429599518,986.6112763300747,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.313160195144599,889.1802853474468,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.705160845516575,1100.2313203282936,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.6881552865240348,1105.4793079093195,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0986577329368676,956.9391566744122,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7786744563019365,1066.4432599353838,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8276593764670225,1055.455003353696,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.805588127263715,1056.9321878924293,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8694569886028575,1033.9646097107957,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8126960299481124,1053.3898441746474,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7375868713925959,1088.4668280107694,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7547031152957318,1077.7045625994615,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7340322722252791,1098.0336887009664,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0774277299383133,964.6630189680932,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8350259523421408,1049.6961378322094,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8542909358778544,1036.2640893981886,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8662339906898899,1034.4332639445383,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1529120248291997,936.2559744555315,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9265894158904184,1019.6844569969314,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9356544323683111,1006.5093412207642,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.6929340508568023,1111.9929035896441,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.287431377248004,898.020040777376,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.890555574009504,1031.2483666349738,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9448416208099202,1011.5549058257643,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7004638331509079,1102.1987571031384,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7609719021972436,1078.0412432592764,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7123029264775023,1097.819671349574,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7104100354218182,1105.2159240313586,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7462974302348973,1083.8616939140575,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.842698667173776,1043.7215040189715,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0995636927436876,956.1740583648453,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9819651578302331,993.1765669344383,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8362236185234685,1048.7595315952628,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.3807435571241449,870.7370540314159,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9094702780989156,1016.4051960689624,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8383637058946057,1047.0859186937116,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.3237525619690944,882.304942855793,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9748649420754046,998.7614890145982,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9310713939233605,1018.8421464804087,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7920013582909292,1072.5235357415504,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7985288051291499,1071.6630671462424,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.6966882539646571,1116.3228651016175,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.6927240213931056,1108.1872093855884,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7542723437681087,1077.953364232132,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8195385282875629,1061.6021309120113,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.720292107746219,1100.4255843275832,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8691222195409449,1034.0132963607896,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7128868066597845,1099.7325298326436,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8963833052660732,1026.6072156487319,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.224479468479616,915.6625912461232,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1732531918316094,928.035536138881,False,settled
