trial,element,block_noise_sd,ramp_noise_sd,block_noise_down,ramp_noise_down,block_noise_up,ramp_noise_up,final_position_down,final_position_up,agent_valid,physics_valid,ramp_valid
b,blue_ramp,0.0,1.7,0.0,0.020700710944762973,0.0,0.7565984723660345,1065.0502652693963,1076.6790489850332,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.0063146318089284,0.0,2.6838175630595615,645.0471087293367,613.3117077950768,False,False,False
b,blue_ramp,0.0,1.7,0.0,-0.07718126210672355,0.0,1.622338064964577,1083.8200782463673,810.6528817517525,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.6083947485172903,0.0,0.7359720199971572,804.8647722519811,1086.8756831615924,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.2419200004963225,0.0,2.255119639044143,645.100798042463,603.4343215142097,False,False,False
b,blue_ramp,0.0,1.7,0.0,1.7952998327808913,0.0,1.1153067779656878,645.11554296781,951.9983790686397,False,False,False
b,blue_ramp,0.0,1.7,0.0,3.896937824699922,0.0,1.5393969767532274,645.1025053585735,832.066199862986,False,False,False
b,blue_ramp,0.0,1.7,0.0,2.0872855135123514,0.0,3.073084028047825,645.047160248702,620.0437768141792,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.07509078978302304,0.0,2.35768217964582,1042.9357325492938,606.0843029593024,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.2324576601487314,0.0,0.797501567862868,859.6599173556401,1071.7983134285053,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.479431089723126,0.0,2.417619230590132,989.8304630725557,607.5336119160106,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.3578769832906652,0.0,2.1683364049916296,997.4028270343064,601.0811763448926,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.7147597211698471,0.0,2.059272268233939,947.5975755025663,597.8627257771325,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.7813080299112406,0.0,1.8461969461146235,938.5204655914105,590.8069421584154,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.3120581375322955,0.0,1.6940607469276447,848.0509938106852,788.7505669461987,True,True,False
b,blue_ramp,0.0,1.7,0.0,-0.06060429194845343,0.0,1.7160255548557808,1077.2989459945932,781.8054039972583,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.1556056967981558,0.0,3.3269796824690236,872.8368023105695,627.7384309831053,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.115549216912853,0.0,0.2581838528333832,645.1008144430099,336.7828559165314,False,False,True
b,blue_ramp,0.0,1.7,0.0,1.0166100089552537,0.0,1.6497249240440701,896.6162477891145,803.7836596759843,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.9726532337850486,0.0,1.0032290700525046,645.1011133262425,984.8857972446874,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.6514916708923175,0.0,3.2329770086479503,953.1227913908348,623.0357069591205,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.5535592965708899,0.0,0.7511400580559235,970.9556536639602,1081.8138438029507,True,True,False
b,blue_ramp,0.0,1.7,0.0,3.0252553127298802,0.0,1.3573932771484092,645.1014238170319,878.0529597445314,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.1887189295742414,0.0,1.449758427786126,1033.9204207543053,848.9159605724705,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.4478407183205384,0.0,-0.08277380236469897,645.100699743545,184.85361974862604,False,False,True
b,blue_ramp,0.0,1.7,0.0,1.2477748469682195,0.0,1.090815106346393,856.2355575152224,954.4729245851833,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.104890637088407,0.0,1.537115764769326,645.1008145142204,831.9240217769528,False,False,False
b,blue_ramp,0.0,1.7,0.0,1.5564579947333292,0.0,1.1407059801547257,812.2887001989004,939.8339311570401,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.08093407934596934,0.0,0.8767885498427432,1059.8752815252983,1029.5656836916476,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.15512862440454894,0.0,1.487547301347988,1029.6235865923752,843.8944080192216,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.2321621676029357,0.0,2.3001003095423314,645.1008014694895,604.6391269007624,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.873951780862033,0.0,1.508019379268784,914.9034938385116,838.7609003663533,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.661746272344029,0.0,1.5534239124610942,948.6561285329595,828.7568971278615,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.7182867092605101,0.0,1.0731329596449568,945.9689396728354,965.747047319826,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.5239278065679702,0.0,3.1132928161423177,970.7869482005079,620.6779493915983,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.0439521813011456,0.0,1.3921149913170743,890.3233361776681,864.6013418607788,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.7723251463125713,0.0,0.21152492293971992,645.1906325880578,315.54351023530836,False,False,True
b,blue_ramp,0.0,1.7,0.0,2.1159094055733245,0.0,0.8189088593614007,645.100814441862,1062.1025929018112,False,False,False
