block_noise_sd,ramp_noise_sd,total_failed_attempts,total_successful_records,failure_rate
0.29,0.9,2409,48000,0.04778908528239005
0.29,1.0,2421,48000,0.048015707740822276
0.29,1.1,2419,48000,0.04797794482238839
0.29,1.2,2370,48000,0.04705181655747469
0.29,1.3,2369,48000,0.04703289721852727
0.29,1.4,2104,48000,0.04199265527702379
0.29,1.5,2159,48000,0.0430431228692757
0.29,1.6,2074,48000,0.04141870032352119
0.29,1.7,1956,48000,0.03915445592121067
0.29,1.8,1942,48000,0.038885106723799606
0.29,1.9,1829,48000,0.03670553292259528
0.29,2.0,1683,48000,0.0338747660165449
0.31,0.5,1375,48000,0.027848101265822784
0.31,0.6,1912,48000,0.03830742106106748
0.31,0.7,2011,48000,0.04021115354621983
0.31,0.8,2393,48000,0.04748675411267438
0.31,0.9,2414,48000,0.04788352441782045
0.31,1.0,2426,48000,0.048110101931543255
0.31,1.1,2424,48000,0.04807234650166587
0.31,1.2,2375,48000,0.04714640198511166
0.31,1.3,2374,48000,0.04712748640171517
0.31,1.4,2109,48000,0.042088247620187993
0.31,1.5,2164,48000,0.043138505701299734
0.31,1.6,2079,48000,0.04151440723656623
0.31,1.7,1961,48000,0.039250615480074455
0.31,1.8,1947,48000,0.038981320199411376
0.31,1.9,1834,48000,0.036802183248384635
0.31,2.0,1688,48000,0.03397198518757044
0.33,0.5,1395,48000,0.028241724870938355
0.33,0.6,1932,48000,0.038692621965873586
0.33,0.7,2031,48000,0.04059483120465311
0.33,0.8,2413,48000,0.047864638089381704
0.33,0.9,2434,48000,0.048261093706626484
0.33,1.0,2446,48000,0.048487491575149665
0.33,1.1,2444,48000,0.04844976607723416
0.33,1.2,2395,48000,0.04752455600754043
0.33,1.3,2394,48000,0.04750565543517085
0.33,1.4,2129,48000,0.04247042630014562
0.33,1.5,2184,48000,0.04351984696317551
0.33,1.6,2099,48000,0.04189704385317072
0.33,1.7,1981,48000,0.039635061323302856
0.33,1.8,1967,48000,0.03936598154782156
0.33,1.9,1854,48000,0.03718859068479961
0.33,2.0,1708,48000,0.034360666291140256
0.35,0.5,1403,48000,0.028399085075805113
0.35,0.6,1940,48000,0.03884661593912695
0.35,0.7,2039,48000,0.04074821639121485
0.35,0.8,2421,48000,0.048015707740822276
0.35,0.9,2442,48000,0.04841203758772451
0.35,1.0,2454,48000,0.04863836365798549
0.35,1.1,2452,48000,0.04860065012288908
0.35,1.2,2403,48000,0.047675733587286474
0.35,1.3,2402,48000,0.047656839014324825
0.35,1.4,2137,48000,0.0426232123980294
0.35,1.5,2192,48000,0.043672298374242906
0.35,1.6,2107,48000,0.042050012972239405
0.35,1.7,1989,48000,0.03978875352577567
0.35,1.8,1975,48000,0.03951975987993997
0.35,1.9,1862,48000,0.037343066864546144
0.35,2.0,1716,48000,0.034516051170649285
